Order_ID,Date,Store_ID,City,State,Product_Name,Category,Quantity,Unit_Price,Discount_Amt,Total_Sales,Payment_Method,Order_Channel,Meal_Time,Customer_Type
ORD0001,01-01-2026,ST001,Rajkot,Gujarat,Paneer Tikka,Veg,2,220,20,420,UPI,Dine-In,Lunch,New
ORD0002,01-01-2026,ST003,Surat,Gujarat,Veg Patty,Veg,1,180,0,180,Cash,Takeaway,Breakfast,Returning
ORD0003,01-01-2026,ST002,Ahmedabad,Gujarat,Chicken Tikka,Non-Veg,2,260,30,490,Card,Dine-In,Dinner,New
ORD0004,02-01-2026,ST005,Mumbai,Maharashtra,Tuna,Non-Veg,1,280,10,270,UPI,Delivery,Evening,Returning
ORD0005,02-01-2026,ST007,Bengaluru,Karnataka,Cookies,Side,3,50,0,150,Wallet,Takeaway,Evening,New
ORD0006,03-01-2026,ST006,Pune,Maharashtra,Cold Drink,Side,2,60,0,120,Cash,Dine-In,Lunch,Returning
ORD0007,03-01-2026,ST001,Rajkot,Gujarat,Aloo Patty,Veg,1,170,0,170,UPI,Takeaway,Breakfast,New
ORD0008,04-01-2026,ST008,Delhi,Delhi,Chicken Teriyaki,Non-Veg,2,290,20,560,Card,Dine-In,Dinner,Returning
ORD0009,04-01-2026,ST004,Vadodara,Gujarat,Veggie Delite,Veg,1,190,10,180,UPI,Delivery,Lunch,New
ORD0010,05-01-2026,ST003,Surat,Gujarat,Chips,Side,2,40,0,80,Cash,Takeaway,Evening,Returning
ORD0011,05-01-2026,ST002,Ahmedabad,Gujarat,Corn & Cheese,Veg,2,210,15,405,UPI,Dine-In,Lunch,New
ORD0012,06-01-2026,ST005,Mumbai,Maharashtra,Chicken Seekh,Non-Veg,1,270,10,260,Card,Delivery,Dinner,Returning
ORD0013,06-01-2026,ST006,Pune,Maharashtra,Paneer Tikka,Veg,3,220,30,630,UPI,Dine-In,Lunch,New
ORD0014,07-01-2026,ST007,Bengaluru,Karnataka,Veg Patty,Veg,2,180,10,350,Wallet,Takeaway,Breakfast,Returning
